id,data_entrada,origem,segmento,etapa_atual,data_ultima_movimentacao,valor_potencial,status_final,etapa_num,dias_no_funil,dias_sem_movimentacao,mes_entrada,tempo_ciclo
L0041,2025-01-23,Indicação,Tech,SQL,2025-03-02,33500,Perdido,2,128,90,2025-01,38
L0042,2025-01-30,Outbound,Indústria,Lead,2025-02-04,16500,Em Andamento,0,121,116,2025-01,5
L0043,2025-03-16,Indicação,Indústria,Proposta,2025-04-18,13500,Em Andamento,3,76,43,2025-03,33
L0044,2025-03-28,Site,Indústria,MQL,2025-04-09,12000,Em Andamento,1,64,52,2025-03,12
L0045,2025-02-10,Site,Financeiro,MQL,2025-02-18,9000,Em Andamento,1,110,102,2025-02,8
L0046,2025-02-05,Site,Varejo,MQL,2025-03-01,7000,Em Andamento,1,115,91,2025-02,24
L0047,2025-03-22,LinkedIn,Financeiro,MQL,2025-04-04,17500,Em Andamento,1,70,57,2025-03,13
L0048,2024-12-01,LinkedIn,Financeiro,MQL,2024-12-16,47000,Perdido,1,181,166,2024-12,15
L0049,2025-03-21,Site,Varejo,Lead,2025-03-25,14000,Perdido,0,71,67,2025-03,4
L0050,2025-04-09,Site,Serviços,MQL,2025-04-25,4000,Perdido,1,52,36,2025-04,16
L0051,2025-05-20,Outbound,Indústria,Lead,2025-05-20,18000,Em Andamento,0,11,11,2025-05,0
L0052,2025-02-16,Site,Serviços,Lead,2025-02-23,10500,Perdido,0,104,97,2025-02,7
L0053,2025-03-24,LinkedIn,Indústria,SQL,2025-04-28,9500,Perdido,2,68,33,2025-03,35
L0054,2025-02-11,LinkedIn,Financeiro,Proposta,2025-03-15,35000,Perdido,3,109,77,2025-02,32
L0055,2024-12-07,Site,Serviços,Lead,2024-12-13,26000,Perdido,0,175,169,2024-12,6
L0056,2025-05-11,LinkedIn,Serviços,Fechado,2025-05-31,24500,Perdido,5,20,0,2025-05,20
L0057,2025-01-26,Site,Financeiro,MQL,2025-02-10,13500,Perdido,1,125,110,2025-01,15
L0058,2025-01-04,Indicação,Financeiro,Lead,2025-01-11,19500,Perdido,0,147,140,2025-01,7
L0059,2025-05-06,Indicação,Financeiro,MQL,2025-05-22,29500,Em Andamento,1,25,9,2025-05,16
L0060,2025-03-26,Site,Indústria,Lead,2025-04-02,28000,Em Andamento,0,66,59,2025-03,7
L0061,2025-05-10,Site,Serviços,Proposta,2025-05-31,9500,Em Andamento,3,21,0,2025-05,21
L0062,2025-01-29,Site,Indústria,Lead,2025-02-03,13000,Em Andamento,0,122,117,2025-01,5
L0063,2025-04-18,LinkedIn,Tech,Proposta,2025-05-31,10000,Em Andamento,3,43,0,2025-04,43
L0064,2025-04-02,Site,Varejo,SQL,2025-05-05,5000,Perdido,2,59,26,2025-04,33
L0065,2025-04-04,Site,Serviços,SQL,2025-05-12,22500,Perdido,2,57,19,2025-04,38
L0066,2025-03-30,Outbound,Financeiro,Lead,2025-03-30,57000,Perdido,0,62,62,2025-03,0
L0067,2024-12-22,LinkedIn,Indústria,Fechado,2025-03-01,14000,Ganho,5,160,91,2024-12,69
L0068,2025-03-18,Site,Tech,MQL,2025-04-02,39500,Em Andamento,1,74,59,2025-03,15
L0069,2025-05-16,Site,Tech,Lead,2025-05-16,26000,Perdido,0,15,15,2025-05,0
L0070,2025-05-09,Site,Indústria,SQL,2025-05-31,9500,Em Andamento,2,22,0,2025-05,22
L0071,2025-01-12,LinkedIn,Tech,Proposta,2025-03-07,26000,Em Andamento,3,139,85,2025-01,54
L0072,2025-03-12,Outbound,Indústria,MQL,2025-03-24,40000,Perdido,1,80,68,2025-03,12
L0073,2025-05-25,LinkedIn,Tech,Proposta,2025-05-31,20000,Em Andamento,3,6,0,2025-05,6
L0074,2024-12-04,Indicação,Serviços,MQL,2024-12-31,36500,Perdido,1,178,151,2024-12,27
L0075,2025-05-31,Site,Indústria,Lead,2025-05-31,3000,Perdido,0,0,0,2025-05,0
L0076,2025-03-30,LinkedIn,Financeiro,Negociação,2025-05-31,40500,Perdido,4,62,0,2025-03,62
L0077,2025-02-25,Site,Varejo,SQL,2025-04-02,11500,Em Andamento,2,95,59,2025-02,36
L0078,2025-04-22,Site,Indústria,MQL,2025-05-14,12000,Em Andamento,1,39,17,2025-04,22
L0079,2025-05-26,LinkedIn,Serviços,Fechado,2025-05-31,14000,Ganho,5,5,0,2025-05,5
L0080,2025-04-21,LinkedIn,Serviços,Lead,2025-04-28,3500,Perdido,0,40,33,2025-04,7
L0081,2025-02-08,Site,Indústria,Proposta,2025-03-10,13000,Em Andamento,3,112,82,2025-02,30
L0082,2025-01-25,Indicação,Varejo,MQL,2025-02-06,14000,Em Andamento,1,126,114,2025-01,12
L0083,2025-01-19,Site,Varejo,Proposta,2025-03-09,29000,Em Andamento,3,132,83,2025-01,49
L0084,2025-05-28,Outbound,Serviços,Proposta,2025-05-31,9500,Perdido,3,3,0,2025-05,3
L0085,2025-04-02,Site,Tech,SQL,2025-04-24,12000,Em Andamento,2,59,37,2025-04,22
L0086,2024-12-22,Outbound,Tech,Lead,2024-12-25,15000,Em Andamento,0,160,157,2024-12,3
L0087,2025-04-13,Site,Serviços,MQL,2025-04-29,24000,Em Andamento,1,48,32,2025-04,16
L0088,2025-05-06,Outbound,Tech,Lead,2025-05-10,25500,Em Andamento,0,25,21,2025-05,4
L0089,2025-05-19,Site,Indústria,Proposta,2025-05-31,10500,Em Andamento,3,12,0,2025-05,12
L0090,2025-01-29,Site,Varejo,Lead,2025-02-01,15500,Em Andamento,0,122,119,2025-01,3
L0091,2025-02-06,Indicação,Financeiro,MQL,2025-02-24,25000,Em Andamento,1,114,96,2025-02,18
L0092,2025-05-15,Site,Varejo,Lead,2025-05-19,21000,Em Andamento,0,16,12,2025-05,4
L0093,2025-05-02,Indicação,Financeiro,Lead,2025-05-06,15000,Em Andamento,0,29,25,2025-05,4
L0094,2025-05-29,LinkedIn,Varejo,Fechado,2025-05-31,9000,Ganho,5,2,0,2025-05,2
L0095,2024-12-24,Site,Financeiro,Lead,2024-12-28,18500,Em Andamento,0,158,154,2024-12,4
L0096,2025-04-27,Site,Indústria,MQL,2025-05-12,5500,Perdido,1,34,19,2025-04,15
L0097,2025-05-12,Indicação,Tech,Fechado,2025-05-31,25000,Ganho,5,19,0,2025-05,19
L0098,2025-05-19,Outbound,Financeiro,Negociação,2025-05-31,28000,Em Andamento,4,12,0,2025-05,12
L0099,2025-05-18,Outbound,Serviços,Proposta,2025-05-31,13500,Em Andamento,3,13,0,2025-05,13
L0100,2025-01-22,Site,Indústria,Lead,2025-01-29,12500,Em Andamento,0,129,122,2025-01,7
L0101,2025-01-01,Site,Financeiro,Lead,2025-01-01,9500,Perdido,0,150,150,2025-01,0
L0102,2025-04-21,LinkedIn,Indústria,Lead,2025-04-22,11000,Perdido,0,40,39,2025-04,1
L0103,2025-05-15,Indicação,Serviços,Lead,2025-05-19,10500,Em Andamento,0,16,12,2025-05,4
L0104,2025-03-17,Indicação,Serviços,Proposta,2025-04-14,8000,Em Andamento,3,75,47,2025-03,28
L0105,2025-02-09,Indicação,Serviços,Negociação,2025-04-21,12000,Em Andamento,4,111,40,2025-02,71
L0106,2025-01-08,LinkedIn,Serviços,Fechado,2025-04-11,17500,Ganho,5,143,50,2025-01,93
L0107,2025-04-26,Site,Serviços,MQL,2025-05-21,45500,Perdido,1,35,10,2025-04,25
L0108,2025-03-09,Outbound,Indústria,Lead,2025-03-14,16500,Em Andamento,0,83,78,2025-03,5
L0109,2024-12-26,Outbound,Serviços,MQL,2025-01-10,15500,Em Andamento,1,156,141,2024-12,15
L0110,2025-05-17,Outbound,Tech,Lead,2025-05-23,19500,Perdido,0,14,8,2025-05,6
L0111,2025-05-16,Site,Varejo,Lead,2025-05-21,3000,Perdido,0,15,10,2025-05,5
L0112,2025-05-10,Indicação,Serviços,Proposta,2025-05-31,13000,Em Andamento,3,21,0,2025-05,21
L0113,2025-03-22,Outbound,Tech,Lead,2025-03-22,21500,Perdido,0,70,70,2025-03,0
L0114,2025-02-22,Indicação,Varejo,Fechado,2025-04-09,55000,Ganho,5,98,52,2025-02,46
L0115,2025-05-06,Outbound,Financeiro,Lead,2025-05-08,21000,Em Andamento,0,25,23,2025-05,2
L0116,2025-01-29,LinkedIn,Varejo,Proposta,2025-03-17,13500,Perdido,3,122,75,2025-01,47
L0117,2024-12-19,LinkedIn,Varejo,Lead,2024-12-23,11000,Em Andamento,0,163,159,2024-12,4
L0118,2025-03-27,Indicação,Indústria,Lead,2025-03-30,7000,Perdido,0,65,62,2025-03,3
L0119,2025-03-08,LinkedIn,Financeiro,Proposta,2025-03-29,49500,Perdido,3,84,63,2025-03,21
L0120,2025-05-05,Indicação,Varejo,Fechado,2025-05-31,18000,Ganho,5,26,0,2025-05,26
L0121,2025-05-10,Site,Tech,SQL,2025-05-30,34500,Perdido,2,21,1,2025-05,20
L0122,2025-02-22,Indicação,Indústria,SQL,2025-03-28,8000,Em Andamento,2,98,64,2025-02,34
L0123,2025-01-12,Site,Serviços,Lead,2025-01-17,33000,Em Andamento,0,139,134,2025-01,5
L0124,2024-12-30,LinkedIn,Tech,MQL,2025-01-23,8500,Perdido,1,152,128,2024-12,24
L0125,2025-04-22,Site,Serviços,MQL,2025-05-13,19500,Em Andamento,1,39,18,2025-04,21
L0126,2025-04-29,Site,Varejo,Proposta,2025-05-31,46000,Em Andamento,3,32,0,2025-04,32
L0127,2025-05-15,Site,Serviços,Lead,2025-05-16,7000,Em Andamento,0,16,15,2025-05,1
L0128,2025-01-05,Site,Tech,Proposta,2025-02-21,14500,Perdido,3,146,99,2025-01,47
L0129,2025-05-21,Outbound,Financeiro,MQL,2025-05-31,25000,Em Andamento,1,10,0,2025-05,10
L0130,2025-04-05,LinkedIn,Varejo,Proposta,2025-05-04,8000,Em Andamento,3,56,27,2025-04,29
L0131,2025-04-19,Outbound,Varejo,SQL,2025-05-31,4000,Perdido,2,42,0,2025-04,42
L0132,2024-12-24,Indicação,Financeiro,Lead,2024-12-27,24500,Em Andamento,0,158,155,2024-12,3
L0133,2025-01-02,Indicação,Indústria,Negociação,2025-02-07,7500,Perdido,4,149,113,2025-01,36
L0134,2025-02-09,Outbound,Indústria,Lead,2025-02-11,20000,Em Andamento,0,111,109,2025-02,2
L0135,2024-12-29,Indicação,Tech,Proposta,2025-01-31,11500,Perdido,3,153,120,2024-12,33
L0136,2025-01-02,Indicação,Financeiro,Fechado,2025-02-21,64500,Ganho,5,149,99,2025-01,50
L0137,2025-05-18,LinkedIn,Serviços,SQL,2025-05-31,8000,Perdido,2,13,0,2025-05,13
L0138,2025-04-05,Indicação,Serviços,Fechado,2025-05-31,11000,Ganho,5,56,0,2025-04,56
L0139,2025-03-08,Outbound,Financeiro,MQL,2025-03-28,40000,Em Andamento,1,84,64,2025-03,20
L0140,2025-05-17,Indicação,Financeiro,Fechado,2025-05-31,10500,Ganho,5,14,0,2025-05,14
L0141,2025-02-19,LinkedIn,Varejo,SQL,2025-04-01,13000,Em Andamento,2,101,60,2025-02,41
L0142,2024-12-24,LinkedIn,Varejo,Proposta,2025-01-23,26000,Perdido,3,158,128,2024-12,30
L0143,2025-03-01,Outbound,Serviços,Lead,2025-03-05,4500,Perdido,0,91,87,2025-03,4
L0144,2025-03-01,Site,Financeiro,MQL,2025-03-14,26500,Em Andamento,1,91,78,2025-03,13
L0145,2025-04-22,Site,Varejo,MQL,2025-05-11,13000,Perdido,1,39,20,2025-04,19
L0146,2025-05-05,Outbound,Varejo,SQL,2025-05-29,18500,Perdido,2,26,2,2025-05,24
L0147,2025-01-16,Outbound,Financeiro,Lead,2025-01-16,10500,Em Andamento,0,135,135,2025-01,0
L0148,2024-12-24,Indicação,Indústria,Fechado,2025-03-15,6500,Perdido,5,158,77,2024-12,81
L0149,2024-12-14,Site,Financeiro,Proposta,2025-01-26,33000,Em Andamento,3,168,125,2024-12,43
L0150,2025-01-25,Indicação,Tech,Proposta,2025-02-27,25000,Em Andamento,3,126,93,2025-01,33
L0151,2025-01-26,Site,Financeiro,SQL,2025-03-09,28000,Perdido,2,125,83,2025-01,42
L0152,2025-02-13,Site,Tech,Proposta,2025-04-04,26000,Perdido,3,107,57,2025-02,50
L0153,2024-12-19,Site,Tech,Proposta,2025-02-02,13500,Perdido,3,163,118,2024-12,45
L0154,2025-02-13,Site,Tech,Lead,2025-02-20,24000,Em Andamento,0,107,100,2025-02,7
L0155,2025-05-26,Outbound,Tech,SQL,2025-05-31,25000,Em Andamento,2,5,0,2025-05,5
L0156,2025-02-18,Indicação,Indústria,Fechado,2025-04-24,9500,Perdido,5,102,37,2025-02,65
L0157,2025-05-15,Indicação,Indústria,Negociação,2025-05-31,49500,Perdido,4,16,0,2025-05,16
L0158,2025-03-29,Indicação,Financeiro,MQL,2025-04-20,32000,Perdido,1,63,41,2025-03,22
L0159,2025-05-10,Site,Serviços,Proposta,2025-05-31,6000,Perdido,3,21,0,2025-05,21
L0160,2025-02-18,LinkedIn,Tech,Proposta,2025-04-13,31500,Em Andamento,3,102,48,2025-02,54
L0161,2025-03-29,LinkedIn,Tech,Fechado,2025-05-10,11000,Ganho,5,63,21,2025-03,42
L0162,2024-12-27,Indicação,Varejo,Lead,2024-12-29,18500,Em Andamento,0,155,153,2024-12,2
L0163,2024-12-11,Site,Serviços,Lead,2024-12-13,28000,Em Andamento,0,171,169,2024-12,2
L0164,2025-03-04,Site,Varejo,MQL,2025-03-16,6500,Perdido,1,88,76,2025-03,12
L0165,2024-12-17,Site,Financeiro,Lead,2024-12-19,44000,Em Andamento,0,165,163,2024-12,2
L0166,2025-02-24,Site,Indústria,Lead,2025-03-02,19500,Em Andamento,0,96,90,2025-02,6
L0167,2025-01-03,LinkedIn,Tech,Proposta,2025-03-05,35500,Em Andamento,3,148,87,2025-01,61
L0168,2025-05-15,Indicação,Financeiro,Negociação,2025-05-31,81000,Perdido,4,16,0,2025-05,16
L0169,2025-01-09,Site,Tech,MQL,2025-01-24,17500,Perdido,1,142,127,2025-01,15
L0170,2025-05-19,Site,Financeiro,Proposta,2025-05-31,14500,Em Andamento,3,12,0,2025-05,12
L0171,2025-03-23,Site,Varejo,Lead,2025-03-27,6000,Em Andamento,0,69,65,2025-03,4
L0172,2025-03-25,Site,Indústria,MQL,2025-04-17,8500,Em Andamento,1,67,44,2025-03,23
L0173,2025-03-05,Indicação,Financeiro,Lead,2025-03-11,22500,Em Andamento,0,87,81,2025-03,6
L0174,2025-04-08,LinkedIn,Indústria,Fechado,2025-05-31,18500,Perdido,5,53,0,2025-04,53
L0175,2025-04-12,Outbound,Varejo,SQL,2025-05-28,13500,Em Andamento,2,49,3,2025-04,46
L0176,2024-12-24,Outbound,Indústria,Lead,2024-12-30,25500,Perdido,0,158,152,2024-12,6
L0177,2024-12-14,Site,Varejo,MQL,2024-12-26,11000,Em Andamento,1,168,156,2024-12,12
L0178,2024-12-26,Indicação,Varejo,Proposta,2025-01-29,28500,Em Andamento,3,156,122,2024-12,34
L0179,2025-03-25,LinkedIn,Tech,Proposta,2025-05-04,17500,Em Andamento,3,67,27,2025-03,40
L0180,2025-02-12,Site,Tech,SQL,2025-03-07,121000,Em Andamento,2,108,85,2025-02,23
L0181,2025-05-02,LinkedIn,Financeiro,Fechado,2025-05-31,35500,Ganho,5,29,0,2025-05,29
L0182,2025-04-14,Outbound,Tech,Lead,2025-04-14,12000,Em Andamento,0,47,47,2025-04,0
L0183,2025-03-10,Outbound,Tech,Lead,2025-03-10,10500,Perdido,0,82,82,2025-03,0
L0184,2025-03-02,Indicação,Varejo,Proposta,2025-03-29,15000,Em Andamento,3,90,63,2025-03,27
L0185,2025-03-01,LinkedIn,Indústria,SQL,2025-03-21,13000,Em Andamento,2,91,71,2025-03,20
L0186,2024-12-17,Indicação,Serviços,Proposta,2025-01-25,21000,Perdido,3,165,126,2024-12,39
L0187,2025-04-19,LinkedIn,Tech,Proposta,2025-05-29,28000,Em Andamento,3,42,2,2025-04,40
L0188,2025-01-01,Indicação,Serviços,Lead,2025-01-06,12500,Perdido,0,150,145,2025-01,5
L0189,2025-01-17,LinkedIn,Serviços,Fechado,2025-04-29,7500,Ganho,5,134,32,2025-01,102
L0190,2025-04-19,Site,Tech,MQL,2025-05-11,7500,Em Andamento,1,42,20,2025-04,22
L0191,2025-01-12,Indicação,Varejo,SQL,2025-02-11,8500,Perdido,2,139,109,2025-01,30
L0192,2025-05-13,Outbound,Tech,MQL,2025-05-31,36000,Em Andamento,1,18,0,2025-05,18
L0193,2024-12-08,Site,Financeiro,Lead,2024-12-09,27000,Em Andamento,0,174,173,2024-12,1
L0194,2025-01-30,Indicação,Varejo,MQL,2025-02-15,5000,Em Andamento,1,121,105,2025-01,16
L0195,2025-03-05,Site,Tech,MQL,2025-03-26,23000,Em Andamento,1,87,66,2025-03,21
L0196,2025-02-02,Outbound,Tech,Lead,2025-02-03,26500,Em Andamento,0,118,117,2025-02,1
L0197,2025-02-06,Indicação,Serviços,Proposta,2025-03-06,7500,Perdido,3,114,86,2025-02,28
L0198,2025-03-26,Site,Serviços,Lead,2025-03-31,14500,Perdido,0,66,61,2025-03,5
L0199,2025-05-20,Site,Tech,Negociação,2025-05-31,21500,Em Andamento,4,11,0,2025-05,11
L0200,2025-04-10,Site,Indústria,Lead,2025-04-10,7000,Em Andamento,0,51,51,2025-04,0
L0201,2025-03-03,LinkedIn,Varejo,MQL,2025-03-12,14000,Em Andamento,1,89,80,2025-03,9
L0202,2025-02-18,Site,Serviços,MQL,2025-02-28,19000,Perdido,1,102,92,2025-02,10
L0203,2025-02-20,LinkedIn,Serviços,Proposta,2025-04-11,27000,Em Andamento,3,100,50,2025-02,50
L0204,2025-01-03,LinkedIn,Tech,Negociação,2025-03-08,41000,Perdido,4,148,84,2025-01,64
L0205,2024-12-21,Site,Financeiro,MQL,2024-12-31,9500,Perdido,1,161,151,2024-12,10
L0206,2025-05-01,Outbound,Indústria,MQL,2025-05-13,8000,Perdido,1,30,18,2025-05,12
L0207,2024-12-08,Site,Financeiro,SQL,2024-12-29,33000,Perdido,2,174,153,2024-12,21
L0208,2025-05-10,LinkedIn,Varejo,Fechado,2025-05-31,15500,Ganho,5,21,0,2025-05,21
L0209,2025-04-03,LinkedIn,Varejo,Proposta,2025-05-14,15500,Em Andamento,3,58,17,2025-04,41
L0210,2025-03-05,LinkedIn,Tech,Fechado,2025-05-15,253000,Ganho,5,87,16,2025-03,71
L0211,2025-02-02,Outbound,Indústria,Lead,2025-02-07,21500,Perdido,0,118,113,2025-02,5
L0212,2025-01-18,Indicação,Serviços,Lead,2025-01-25,28000,Em Andamento,0,133,126,2025-01,7
L0213,2024-12-06,Site,Serviços,MQL,2024-12-18,24500,Em Andamento,1,176,164,2024-12,12
L0214,2024-12-13,Site,Financeiro,Lead,2024-12-17,36000,Perdido,0,169,165,2024-12,4
L0215,2025-04-17,Site,Tech,MQL,2025-05-12,17000,Perdido,1,44,19,2025-04,25
L0216,2025-03-04,Site,Tech,SQL,2025-04-10,34000,Em Andamento,2,88,51,2025-03,37
L0217,2025-04-20,Site,Financeiro,Lead,2025-04-26,14500,Em Andamento,0,41,35,2025-04,6
L0218,2025-03-06,Indicação,Varejo,Proposta,2025-03-27,9500,Perdido,3,86,65,2025-03,21
L0219,2024-12-10,Site,Varejo,Lead,2024-12-12,8000,Em Andamento,0,172,170,2024-12,2
L0220,2025-02-22,Outbound,Varejo,MQL,2025-03-10,11500,Perdido,1,98,82,2025-02,16
L0221,2025-04-09,Indicação,Financeiro,Fechado,2025-05-31,106500,Ganho,5,52,0,2025-04,52
L0222,2025-05-26,LinkedIn,Financeiro,MQL,2025-05-31,7000,Perdido,1,5,0,2025-05,5
L0223,2024-12-14,LinkedIn,Indústria,Negociação,2025-02-17,23000,Perdido,4,168,103,2024-12,65
L0224,2025-01-18,Site,Varejo,Proposta,2025-03-01,4000,Em Andamento,3,133,91,2025-01,42
L0225,2025-05-30,Site,Indústria,MQL,2025-05-31,11000,Em Andamento,1,1,0,2025-05,1
L0226,2025-01-14,LinkedIn,Financeiro,Proposta,2025-03-13,48000,Em Andamento,3,137,79,2025-01,58
L0227,2025-05-06,LinkedIn,Indústria,SQL,2025-05-31,15500,Perdido,2,25,0,2025-05,25
L0228,2025-05-30,Site,Serviços,SQL,2025-05-31,6500,Perdido,2,1,0,2025-05,1
L0229,2025-01-01,LinkedIn,Financeiro,MQL,2025-01-22,15000,Perdido,1,150,129,2025-01,21
L0230,2025-02-13,Site,Tech,Proposta,2025-04-03,32000,Perdido,3,107,58,2025-02,49
L0231,2025-04-23,Indicação,Indústria,Negociação,2025-05-31,9000,Perdido,4,38,0,2025-04,38
L0232,2024-12-26,LinkedIn,Serviços,Proposta,2025-02-10,15500,Em Andamento,3,156,110,2024-12,46
L0233,2025-04-02,Indicação,Varejo,SQL,2025-05-07,11500,Em Andamento,2,59,24,2025-04,35
L0234,2025-04-16,Indicação,Tech,Lead,2025-04-18,13500,Em Andamento,0,45,43,2025-04,2
L0235,2024-12-10,Outbound,Serviços,Lead,2024-12-14,53500,Em Andamento,0,172,168,2024-12,4
L0236,2024-12-10,Site,Financeiro,Lead,2024-12-14,35500,Perdido,0,172,168,2024-12,4
L0237,2025-03-27,Outbound,Financeiro,Lead,2025-04-03,6500,Perdido,0,65,58,2025-03,7
L0238,2025-02-08,Site,Tech,MQL,2025-02-28,23500,Perdido,1,112,92,2025-02,20
L0239,2024-12-04,Indicação,Varejo,Proposta,2025-02-08,7000,Em Andamento,3,178,112,2024-12,66
L0240,2025-04-11,Site,Serviços,Lead,2025-04-18,23000,Em Andamento,0,50,43,2025-04,7
L0241,2025-02-21,Outbound,Tech,SQL,2025-03-15,12500,Perdido,2,99,77,2025-02,22
L0242,2025-02-05,Indicação,Indústria,Fechado,2025-05-10,13500,Perdido,5,115,21,2025-02,94
L0243,2025-05-26,Site,Varejo,SQL,2025-05-31,15500,Em Andamento,2,5,0,2025-05,5
L0244,2025-03-17,Indicação,Serviços,Proposta,2025-05-05,23500,Em Andamento,3,75,26,2025-03,49
L0245,2025-04-14,LinkedIn,Varejo,Proposta,2025-05-31,5000,Em Andamento,3,47,0,2025-04,47
L0246,2025-01-12,Site,Financeiro,MQL,2025-01-27,19000,Perdido,1,139,124,2025-01,15
L0247,2025-04-10,LinkedIn,Tech,Fechado,2025-05-31,15000,Perdido,5,51,0,2025-04,51
L0248,2025-03-12,Site,Tech,Lead,2025-03-18,13500,Perdido,0,80,74,2025-03,6
L0249,2025-02-27,Indicação,Financeiro,Lead,2025-03-06,74500,Perdido,0,93,86,2025-02,7
L0250,2024-12-09,Site,Indústria,Lead,2024-12-15,19000,Perdido,0,173,167,2024-12,6
L0251,2025-03-06,Outbound,Serviços,Lead,2025-03-12,6000,Perdido,0,86,80,2025-03,6
L0252,2024-12-21,Indicação,Financeiro,MQL,2025-01-11,43000,Em Andamento,1,161,140,2024-12,21
L0253,2025-04-15,Site,Indústria,Lead,2025-04-22,58500,Perdido,0,46,39,2025-04,7
L0254,2025-05-22,Indicação,Serviços,MQL,2025-05-31,26000,Em Andamento,1,9,0,2025-05,9
L0255,2025-02-09,Site,Tech,MQL,2025-02-19,7500,Perdido,1,111,101,2025-02,10
L0256,2025-01-22,Site,Financeiro,MQL,2025-02-01,17000,Perdido,1,129,119,2025-01,10
